Context,Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Answer Key
"يحافظ المحامي على شرف المهنة ومكانتها، ولا يتصرف بما يخل بثقة الناس به أو بالمهنة.",ما الذي لا يجب على المحامي القيام به؟,لا يتصرف المحامي بما يخل بثقة الناس به أو بالمهنة.,المحامي ليس ملزما بالحفاظ على شرف المهنة ومكانتها.,المحامي يتصرف بما يخل بثقة الناس به أو بالمهنة.,لا يتصرف المحامي بما يخل بثقة الناس به أو بالمهنة.,المحامي يتصرف بما يخدم مصالحه الشخصية فقط.,2
"على المحامي عند انقضاء التوكيل ، أن يرد لموكله عند طلبه سند التوكيل والمستندات والأوراق الأصلية، ومع ذلك يجوز له إذا لم يكن قد حصل على أتعابه أن يستخرج على نفقة موكله صورا من جميع المحررات التي تصلح سندا للمطالبة وأن يبقي لديه المستندات والأوراق الأصلية حتى يؤدي له الموكل الأتعاب الحالّة ومصروفات استخراج الصور. ولا يلزم المحامي أن يسلم موكله مسودات الأوراق التي قدمها في الدعوى، ولا الكتب الواردة إليه، ومع ذلك يجب على المحامي أن يعطي موكله صورا من هذه الأوراق بناء على طلب الموكل وعلى نفقته.",ماذا يجب على المحامي أن يفعل عند انقضاء التوكيل؟,يجب عليه أن يرد لموكله سند التوكيل والمستندات والأوراق الأصلية,يجب عليه أن يعطي موكله صورا من الأوراق بناء على طلب الموكل وعلى نفقته,يجب عليه أن يحتفظ بسند التوكيل والمستندات والأوراق الأصلية,يجب عليه أن يدفع لموكله الأتعاب الحالّة ومصروفات استخراج الصور,يجب عليه أن يرد لموكله سند التوكيل والمستندات والأوراق الأصلية,3
"على المحامي عند انقضاء التوكيل ، أن يرد لموكله عند طلبه سند التوكيل والمستندات والأوراق الأصلية، ومع ذلك يجوز له إذا لم يكن قد حصل على أتعابه أن يستخرج على نفقة موكله صورا من جميع المحررات التي تصلح سندا للمطالبة وأن يبقي لديه المستندات والأوراق الأصلية حتى يؤدي له الموكل الأتعاب الحالّة ومصروفات استخراج الصور. ولا يلزم المحامي أن يسلم موكله مسودات الأوراق التي قدمها في الدعوى، ولا الكتب الواردة إليه، ومع ذلك يجب على المحامي أن يعطي موكله صورا من هذه الأوراق بناء على طلب الموكل وعلى نفقته.",ما الذي لا يلزم المحامي أن يسلمه لموكله؟,"مسودات الأوراق التي قدمها في الدعوى، ولا الكتب الواردة إليه",صورا من الأوراق بناء على طلب الموكل وعلى نفقته,سند التوكيل والمستندات والأوراق الأصلية,الأتعاب الحالّة ومصروفات استخراج الصور,"مسودات الأوراق التي قدمها في الدعوى، ولا الكتب الواردة إليه",3
تسري أحكام الوكالة إذا أجاز المنتفع ما قام به الفضولي.,ما هي الأحكام التي تسري إذا أجاز المنتفع ما قام به الفضولي؟,أحكام الوكالة,أحكام الشركة,أحكام العقد,أحكام الإيجار,أحكام الوكالة,3
"إذا لم يحضر المستأنِف الجلسة المحددة جاز للمحكمة الآتي:  1.أن تحكم في الاستئناف؛ إذا كانت القضية صالحة للحكم فيها، أو طلب المستأنف ضده الحكم فيها.  2.تأجيل الجلسة بما لا يزيد على (ثلاثين) يوماً، فإذا لم يحضر فيها المستأنف حكمت المحكمة من تلقاء نفسها باعتبار استئنافه كأن لم يكن.",ماذا يمكن للمحكمة أن تفعل إذا لم يحضر المستأنف الجلسة المحددة؟,"تحكم في الاستئناف إذا كانت القضية صالحة للحكم فيها، أو تأجيل الجلسة بما لا يزيد على (ثلاثين) يوماً",تأجيل الجلسة بما لا يزيد على (ستين) يوماً,"تحكم في الاستئناف إذا كانت القضية صالحة للحكم فيها، أو تأجيل الجلسة بما لا يزيد على (ثلاثين) يوماً",تحكم في الاستئناف فقط,تأجيل الجلسة فقط,1
"إذا لم يحضر المستأنِف الجلسة المحددة جاز للمحكمة الآتي:  1.أن تحكم في الاستئناف؛ إذا كانت القضية صالحة للحكم فيها، أو طلب المستأنف ضده الحكم فيها.  2.تأجيل الجلسة بما لا يزيد على (ثلاثين) يوماً، فإذا لم يحضر فيها المستأنف حكمت المحكمة من تلقاء نفسها باعتبار استئنافه كأن لم يكن.",ماذا يحدث إذا لم يحضر المستأنف الجلسة بعد تأجيلها؟,تحكم المحكمة من تلقاء نفسها باعتبار استئنافه كأن لم يكن,تأجيل الجلسة مرة أخرى,تحكم المحكمة من تلقاء نفسها باعتبار استئنافه كأن لم يكن,تأجيل الجلسة بما لا يزيد على (ستين) يوماً,تحكم في الاستئناف فقط,1
"لا يخل تطبيق أحكام هذا النظام بما يأتي:  أ - حقوق الملكية التي ترتبت لغير السعوديين بموجب الأنظمة السابقة، ويتعين إعمال أحكام هذا النظام بعد نفاذه عند انتقال ملكية العقار.  ب - المزايا التي تضمنتها القواعد المنظمة لتملك العقار لمواطني دول مجلس التعاون لدول الخليج العربية.  ج - اكتساب حق الملكية أو أي حق عيني أصلي آخر على عقار عن طريق الميراث.  د - الأنظمة وقرارات مجلس الوزراء والأوامر السامية التي تمنع التملك في بعض المواقع.",ما الذي لا يتأثر بتطبيق أحكام النظام الجديد؟,حقوق الملكية التي ترتبت لغير السعوديين بموجب الأنظمة السابقة,حقوق الملكية التي ترتبت لغير السعوديين بموجب الأنظمة السابقة,حقوق الملكية التي ترتبت لغير السعوديين بموجب النظام الجديد,حقوق الملكية التي ترتبت للسعوديين بموجب الأنظمة السابقة,حقوق الملكية التي ترتبت للسعوديين بموجب النظام الجديد,0
"لا يخل تطبيق أحكام هذا النظام بما يأتي:  أ - حقوق الملكية التي ترتبت لغير السعوديين بموجب الأنظمة السابقة، ويتعين إعمال أحكام هذا النظام بعد نفاذه عند انتقال ملكية العقار.  ب - المزايا التي تضمنتها القواعد المنظمة لتملك العقار لمواطني دول مجلس التعاون لدول الخليج العربية.  ج - اكتساب حق الملكية أو أي حق عيني أصلي آخر على عقار عن طريق الميراث.  د - الأنظمة وقرارات مجلس الوزراء والأوامر السامية التي تمنع التملك في بعض المواقع.",ما الذي يمكن اكتسابه عن طريق الميراث وفقًا للنظام الجديد؟,حق الملكية أو أي حق عيني أصلي آخر على عقار,حق الملكية أو أي حق عيني أصلي آخر على عقار,أي حق عيني أصلي آخر فقط على عقار,حق الملكية فقط على عقار,لا يمكن اكتساب أي حقوق على العقار عن طريق الميراث,0
إذا ثبت للدائرة صحة الخط أو التوقيع أو البصمة أو الختم الذي أنكره الخصم فتذكر مستندها على ذلك ولا حاجة لإجراء المقارنة.,ماذا يحدث إذا ثبت للدائرة صحة الخط أو التوقيع أو البصمة أو الختم الذي أنكره الخصم؟,تذكر الدائرة مستندها على ذلك ولا حاجة لإجراء المقارنة,يتم إعادة القضية للمحكمة,يتم تجاهل الخط أو التوقيع أو البصمة أو الختم,تقوم الدائرة بإجراء المقارنة,تذكر الدائرة مستندها على ذلك ولا حاجة لإجراء المقارنة,3
إذا ثبت للدائرة صحة الخط أو التوقيع أو البصمة أو الختم الذي أنكره الخصم فتذكر مستندها على ذلك ولا حاجة لإجراء المقارنة.,ماذا يحدث إذا أنكر الخصم الخط أو التوقيع أو البصمة أو الختم ولم يثبت صحتها للدائرة؟,يتعين على الدائرة إجراء المقارنة,يتم إعادة القضية للمحكمة,تذكر الدائرة مستندها على ذلك دون الحاجة لإجراء المقارنة,يتم تجاهل الخط أو التوقيع أو البصمة أو الختم,يتعين على الدائرة إجراء المقارنة,3
"1- تحدد المحكمة جلسة لحضور الخصوم لتقديم ما لديهم من محرَّرات للمضاهاة، والاتفاق على ما يصلح منها لذلك، فإن تخلف الخصم المكلف بالإثبات بغير عذر مقبول جاز الحكم بإسقاط حقه في الإثبات، وإذا تخلف خصمه جاز للمحكمة اعتبار المحرَّرات المقدمة للمضاهاة صالحة لها.  2- يجب على الخصم الذي ينازع في صحة المحرَّر أن يحضر بنفسه للاستكتاب في الموعد المحدد لذلك، فإن امتنع عن الحضور بغير عذر مقبول، أو حضر وامتنع عن الاستكتاب؛ جاز للمحكمة الحكم بصحة المحرَّر.",ماذا يحدث إذا تخلف الخصم المكلف بالإثبات بغير عذر مقبول في الجلسة المحددة لتقديم المحررات؟,جاز الحكم بإسقاط حقه في الإثبات,يتم الحكم بصحة المحررات المقدمة من الخصم الآخر,يتم تأجيل الجلسة إلى موعد آخر,يتم تغريمه مبلغاً مالياً,جاز الحكم بإسقاط حقه في الإثبات,3
"1- تحدد المحكمة جلسة لحضور الخصوم لتقديم ما لديهم من محرَّرات للمضاهاة، والاتفاق على ما يصلح منها لذلك، فإن تخلف الخصم المكلف بالإثبات بغير عذر مقبول جاز الحكم بإسقاط حقه في الإثبات، وإذا تخلف خصمه جاز للمحكمة اعتبار المحرَّرات المقدمة للمضاهاة صالحة لها.  2- يجب على الخصم الذي ينازع في صحة المحرَّر أن يحضر بنفسه للاستكتاب في الموعد المحدد لذلك، فإن امتنع عن الحضور بغير عذر مقبول، أو حضر وامتنع عن الاستكتاب؛ جاز للمحكمة الحكم بصحة المحرَّر.","ماذا يحدث إذا امتنع الخصم عن الحضور بغير عذر مقبول، أو حضر وامتنع عن الاستكتاب؟",جاز للمحكمة الحكم بصحة المحرَّر,يتم تأجيل الجلسة إلى موعد آخر,يتم إسقاط حقه في الإثبات,يتم تغريمه مبلغاً مالياً,جاز للمحكمة الحكم بصحة المحرَّر,3
تحدد إدارة المحكمة عند قيد صحيفة الدعوى التجارية جلسة لنظرها بما لا يتجاوز عشرين يوماً من تاريخ القيد.,ما هو الحد الأقصى للأيام التي يمكن أن تحددها إدارة المحكمة لنظر صحيفة الدعوى التجارية من تاريخ القيد؟,عشرين يوماً,خمسة عشر يوماً,عشرة أيام,ثلاثين يوماً,عشرين يوماً,3
تحدد إدارة المحكمة عند قيد صحيفة الدعوى التجارية جلسة لنظرها بما لا يتجاوز عشرين يوماً من تاريخ القيد.,من يحدد جلسة لنظر صحيفة الدعوى التجارية؟,إدارة المحكمة,النائب العام,المحامي,إدارة المحكمة,القاضي,2
يقصد بالعمل الوارد في هذه المادة التعاقد مع الجهة لمباشرة قضاياها.,ماذا يقصد بالعمل الوارد في المادة المذكورة؟,التعاقد مع الجهة لمباشرة قضاياها,التعاقد مع الجهة لتقديم الدعم القانوني,التعاقد مع الجهة لمباشرة قضاياها,التعاقد مع الجهة لتسوية النزاعات,التعاقد مع الجهة لتقديم النصائح القانونية,1
يقصد بالعمل الوارد في هذه المادة التعاقد مع الجهة لمباشرة قضاياها.,من يمكنه القيام بالعمل الوارد في المادة المذكورة؟,المحامي,النائب العام,المحامي,الشرطي,القاضي,1
لا يجوز للمحامي تقديم استشارة نظامية تعين العميل على مخالفة الأنظمة أو الإخلال بها.,ما هو دور المحامي في تقديم الاستشارات القانونية؟,لا يجوز للمحامي تقديم استشارة نظامية تعين العميل على مخالفة الأنظمة أو الإخلال بها.,لا يجوز للمحامي تقديم استشارة نظامية تعين العميل على مخالفة الأنظمة أو الإخلال بها.,يجوز للمحامي تقديم استشارة نظامية تعين العميل على مخالفة الأنظمة أو الإخلال بها.,يجب على المحامي تقديم استشارة نظامية تعين العميل على مخالفة الأنظمة أو الإخلال بها.,ليس لدى المحامي أي دور في تقديم الاستشارات القانونية.,0
لا يجوز للمحامي تقديم استشارة نظامية تعين العميل على مخالفة الأنظمة أو الإخلال بها.,هل يجوز للمحامي تقديم استشارة قانونية تساعد العميل على مخالفة القوانين؟,لا,نعم,ليس لدي معلومات كافية للإجابة,يعتمد على القانون المحلي,لا,3
"لا تقع المقاصة إلا إذا تمسك بها من له مصلحة فيها، ولا يصح النزول عنها قبل ثبوت الحق فيها.",هل يمكن النزول عن المقاصة قبل ثبوت الحق فيها؟,لا,لا,ليس متأكدا,نعم,ربما,0
"لا تقع المقاصة إلا إذا تمسك بها من له مصلحة فيها، ولا يصح النزول عنها قبل ثبوت الحق فيها.",هل تقع المقاصة إذا لم يتمسك بها من له مصلحة فيها؟,لا,ربما,نعم,ليس متأكدا,لا,3
"يستمع الحكمان إلى الزوجين ويتقصيان أسباب الشقاق، ويبذلان الجهد للإصلاح بينهما، ولا يؤثر في سير عمل الحكمين امتناع أي من الزوجين عن التعامل مع الحكمين.",ما هو دور الحكمين في حالة الشقاق بين الزوجين؟,"يستمع الحكمان إلى الزوجين ويتقصيان أسباب الشقاق، ويبذلان الجهد للإصلاح بينهما","يستمع الحكمان إلى الزوجين ويتقصيان أسباب الشقاق، ويبذلان الجهد للإصلاح بينهما",يقوم الحكمان بتقسيم الأموال والممتلكات بين الزوجين,يقوم الحكمان بتحديد من هو الزوج الذي يتحمل اللوم في الشقاق,يقوم الحكمان بتقديم النصائح للزوجين لتجنب الشقاق,0
"يستمع الحكمان إلى الزوجين ويتقصيان أسباب الشقاق، ويبذلان الجهد للإصلاح بينهما، ولا يؤثر في سير عمل الحكمين امتناع أي من الزوجين عن التعامل مع الحكمين.",ماذا يحدث إذا امتنع أحد الزوجين عن التعامل مع الحكمين؟,لا يؤثر في سير عمل الحكمين,يتوقف الحكمان عن العمل ويتم تعيين حكمين آخرين,لا يؤثر في سير عمل الحكمين,يتم تغريم الزوج الذي امتنع عن التعامل مع الحكمين,يتم اعتبار الزوج الذي امتنع عن التعامل مع الحكمين مذنباً في الشقاق,1
"( فبنـاء على ما ورد في المادة ( 18 ) من نظام المحاماة التي نصت على أنه [ للمحامين المقيدين في جدول الممارسين دون غيرهم- حق الترافع عن الغير أمام المحاكم أو ديوان المظالم، أو اللجان المشار إليها في المادة (الأولى) من هذا النظام، واستثناء من ذلك يقبل للترافع عن الغير من يأتي: أ – أي وكيل في قضية واحدة إلى ثلاث، فإن باشر الوكيل ثلاث قضايا عن ثلاثة أشخاص متعددين لا تقبل وكالته عن غيرهم. ب- الأزواج أو الأصهار أو الأشخاص من ذوي القربى حتى الدرجة الرابعة . ج – الممثل النظامي للشخص المعنوي . د – الوصي والقيم وناظر الوقف في قضايا الوصاية والقوامة ونظارة الوقف التي يقومون عليها. هـ- مأمور بيت المال فيما هو من اختصاصه حسب النظام والتعليمات ] أهـ . وبنـاء على ما ورد في اللائحة التنفيذية لنظام المحاماة ( 18/11 ) - مع مراعاة ما ورد في اللائحة التنفيذية للنظام ( 3/10 ) المتضمنة أنه يحق للمتدرب مباشرة أكثر من ثلاث قضايا ، ولأكثر من ثلاثة أشخاص بصفته وكيلا عن المحامي - . فإننـا نرغب إليكم الاطلاع والتقيد بما جاء في المادة المذكورة ، وعدم قبول الترافع عن الغير إلا للمحامين المقيدين في جدول المحامين الممارسين ، ويستثنى من ذلك من تم ذكرهم في المادة ( 18 ) من النظام والمادة ( 18/11 ) من اللائحة التنفيذية ، وأن يطلب من الوكيل ما يثبت كونه محاميا ، وإن كان من غير المحامين فلا يقبل ترافعه حتى يقوم بتوقيع الإقرار الخاص بذلك والمرفق نسخة منه ، والمتعلق بقضايا الوكلاء غير المحامين .) / و.","من يحق له الترافع عن الغير أمام المحاكم أو ديوان المظالم، أو اللجان المشار إليها في المادة (الأولى) من هذا النظام؟",للمحامين المقيدين في جدول الممارسين دون غيرهم,للمحامين المقيدين في جدول الممارسين دون غيرهم,لأي شخص يمتلك خبرة في الترافع,لأي شخص يمتلك الرغبة في الترافع,لأي شخص يمتلك شهادة في القانون,0
"( فبنـاء على ما ورد في المادة ( 18 ) من نظام المحاماة التي نصت على أنه [ للمحامين المقيدين في جدول الممارسين دون غيرهم- حق الترافع عن الغير أمام المحاكم أو ديوان المظالم، أو اللجان المشار إليها في المادة (الأولى) من هذا النظام، واستثناء من ذلك يقبل للترافع عن الغير من يأتي: أ – أي وكيل في قضية واحدة إلى ثلاث، فإن باشر الوكيل ثلاث قضايا عن ثلاثة أشخاص متعددين لا تقبل وكالته عن غيرهم. ب- الأزواج أو الأصهار أو الأشخاص من ذوي القربى حتى الدرجة الرابعة . ج – الممثل النظامي للشخص المعنوي . د – الوصي والقيم وناظر الوقف في قضايا الوصاية والقوامة ونظارة الوقف التي يقومون عليها. هـ- مأمور بيت المال فيما هو من اختصاصه حسب النظام والتعليمات ] أهـ . وبنـاء على ما ورد في اللائحة التنفيذية لنظام المحاماة ( 18/11 ) - مع مراعاة ما ورد في اللائحة التنفيذية للنظام ( 3/10 ) المتضمنة أنه يحق للمتدرب مباشرة أكثر من ثلاث قضايا ، ولأكثر من ثلاثة أشخاص بصفته وكيلا عن المحامي - . فإننـا نرغب إليكم الاطلاع والتقيد بما جاء في المادة المذكورة ، وعدم قبول الترافع عن الغير إلا للمحامين المقيدين في جدول المحامين الممارسين ، ويستثنى من ذلك من تم ذكرهم في المادة ( 18 ) من النظام والمادة ( 18/11 ) من اللائحة التنفيذية ، وأن يطلب من الوكيل ما يثبت كونه محاميا ، وإن كان من غير المحامين فلا يقبل ترافعه حتى يقوم بتوقيع الإقرار الخاص بذلك والمرفق نسخة منه ، والمتعلق بقضايا الوكلاء غير المحامين .) / و.",من يمكنه الترافع عن الغير في أكثر من ثلاث قضايا ولأكثر من ثلاثة أشخاص؟,المتدرب بصفته وكيلا عن المحامي,الوكيل الذي باشر ثلاث قضايا عن ثلاثة أشخاص متعددين,الوصي والقيم وناظر الوقف في قضايا الوصاية والقوامة ونظارة الوقف التي يقومون عليها,المتدرب بصفته وكيلا عن المحامي,الأزواج أو الأصهار أو الأشخاص من ذوي القربى حتى الدرجة الرابعة,2
"يكون تقديم طلب إقامة الناظر أو الولي أو الوصي أو الحجر على السفهاء لدى المحكمة التي يكون في حدود ولايتها الوقف أو القاصر أو المطلوب الحجر عليه، وإذا تعددت أعيان الوقف الواحد فيكون طلب إقامة الناظر لدى المحكمة التي يقع في حدود ولايتها اكثر الأعيان ، وفي حال التساوي يكون المنهي بالخيار بالتقدم إلى أي محكمة يقع في نطاق اختصاصها أيّ من أعيان الوقف.",أين يتم تقديم طلب إقامة الناظر أو الولي أو الوصي أو الحجر على السفهاء؟,لدى المحكمة التي يكون في حدود ولايتها الوقف أو القاصر أو المطلوب الحجر عليه,لدى المحكمة التي يكون في حدود ولايتها الأكثر سكانا,لدى المحكمة التي يكون في حدود ولايتها الوقف أو القاصر أو المطلوب الحجر عليه,لدى المحكمة التي يكون في حدود ولايتها الأغنى,لدى المحكمة التي يكون في حدود ولايتها الأقل أعيان,1
"يكون تقديم طلب إقامة الناظر أو الولي أو الوصي أو الحجر على السفهاء لدى المحكمة التي يكون في حدود ولايتها الوقف أو القاصر أو المطلوب الحجر عليه، وإذا تعددت أعيان الوقف الواحد فيكون طلب إقامة الناظر لدى المحكمة التي يقع في حدود ولايتها اكثر الأعيان ، وفي حال التساوي يكون المنهي بالخيار بالتقدم إلى أي محكمة يقع في نطاق اختصاصها أيّ من أعيان الوقف.","في حالة التساوي بين أعيان الوقف، من يكون له الخيار في تقديم الطلب إلى أي محكمة؟",المنهي,الوصي,الناظر,الولي,المنهي,3
"إذا اشترك المتضرر بخطئه في إحداث الضرر أو زاد فيه، سقط حقه أو بعض حقه في التعويض، وذلك بنسبة اشتراكه فيه.",ماذا يحدث إذا اشترك المتضرر بخطئه في إحداث الضرر أو زاد فيه؟,"سقط حقه أو بعض حقه في التعويض، وذلك بنسبة اشتراكه فيه.","سقط حقه أو بعض حقه في التعويض، وذلك بنسبة اشتراكه فيه.",لا يتأثر حقه في التعويض بأي شكل من الأشكال.,يحصل على تعويض كامل بغض النظر عن خطأه.,يتم تقليل حقه في التعويض بنسبة ثابتة.,0
"إذا اشترك المتضرر بخطئه في إحداث الضرر أو زاد فيه، سقط حقه أو بعض حقه في التعويض، وذلك بنسبة اشتراكه فيه.",كيف يتم تحديد حق المتضرر في التعويض إذا كان قد اشترك بخطئه في إحداث الضرر أو زاد فيه؟,يتم تحديده بنسبة اشتراكه في الضرر.,يتم تحديده بناءً على قرار القاضي فقط.,يتم تحديده بنسبة اشتراكه في الضرر.,يتم تحديده بنسبة ثابتة بغض النظر عن مدى اشتراكه في الضرر.,يتم تحديده بناءً على مدى خطورة الضرر الذي تم إحداثه.,1
