question,ground_truth,question_i,llm,context,llm_answer,answer_similarity,questions,ground_truths,context_r,Experiment
متى يتم صرف النفقة للمستفيد من صندوق النفقة؟,يسعى الصندوق لصرف النفقة الأولى للمستفيد خلال خمسة أيام عمل من تاريخ قبول طلب المستفيد، بعد انتهاء عمليات التدقيق والدراسة، ويتم إشعار المستفيد بقبول طلبه.,53,Cohere-command-r-kscml,يوقف الصندوق صرف النفقة للمستفيد إذا انتفى سبب استحقاقه لها. وعلى كل مستفيد موافاة الصندوق بأي تغيير يؤثر في استحقاقه للنفقة، وذلك خلال عشرة أيام من تاريخ حدوث التغيير.,يتم صرف النفقة للمستفيد إذا توفر سبب الاستحقاق، ويجب على المستفيد إبلاغ الصندوق بأي تغيير خلال ١٠ أيام من حدوثه.,2,متى يتم صرف النفقة للمستفيد من صندوق النفقة؟,يسعى الصندوق لصرف النفقة الأولى للمستفيد خلال خمسة أيام عمل من تاريخ قبول طلب المستفيد، بعد انتهاء عمليات التدقيق والدراسة، ويتم إشعار المستفيد بقبول طلبه.,يوقف الصندوق صرف النفقة للمستفيد إذا انتفى سبب استحقاقه لها. وعلى كل مستفيد موافاة الصندوق بأي تغيير يؤثر في استحقاقه للنفقة، وذلك خلال عشرة أيام من تاريخ حدوث التغيير.,Cohere-command-r-kscml | with Context
متى يصدر التقدير النهائي لمبلغ التكاليف القضائية للدعوى؟,يصدر التقدير النهائي بعد انتهاء الدعوى، ولا يُحصل مبلغ التكاليف من المكلف إلا بعد انتهاء مدة الاعتراض على التقدير أو صدور قرار في شأن اعتراضه.,54,Cohere-command-r-kscml,تصدر الإدارة المختصة -التي يحددها وزير العدل- التقدير النهائي لمبلغ التكاليف القضائية للدعوى بعد انتهائها، ويبلغ المكلف بأداء هذه التكاليف، ولا يُحصل مبلغ التكاليف من المكلف إلا بعد انتهاء مدة الاعتراض على التقدير أو صدور قرار في شأن اعتراضه.,تصدر الإدارة المختصة التقدير النهائي للتكاليف القضائية بعد انتهاء الدعوى.,4,متى يصدر التقدير النهائي لمبلغ التكاليف القضائية للدعوى؟,يصدر التقدير النهائي بعد انتهاء الدعوى، ولا يُحصل مبلغ التكاليف من المكلف إلا بعد انتهاء مدة الاعتراض على التقدير أو صدور قرار في شأن اعتراضه.,تصدر الإدارة المختصة -التي يحددها وزير العدل- التقدير النهائي لمبلغ التكاليف القضائية للدعوى بعد انتهائها، ويبلغ المكلف بأداء هذه التكاليف، ولا يُحصل مبلغ التكاليف من المكلف إلا بعد انتهاء مدة الاعتراض على التقدير أو صدور قرار في شأن اعتراضه.,Cohere-command-r-kscml | with Context
متى يمكن طلب ندب خبير؟,للمحكمة -من تلقاء نفسها أو بناءً على طلب أحد الخصوم- أن تقرر ندب خبير أو أكثر؛ لإبداء رأيه في المسائل الفنية التي يستلزمها الفصل في الدعوى، وفقًا للمادة (١١٠) من نظام الإثبات.,55,Cohere-command-r-kscml,للمحكمة -من تلقاء نفسها أو بناء على طلب أحد الخصوم- أن تقرر ندب خبير أو أكثر؛ لإبداء رأيه في المسائل الفنية التي يستلزمها الفصل في الدعوى.  يراعى في اختيار الخبير تناسب معارفه الفنية وخبراته مع موضوع النزاع.  إذا اتفق الخصوم على اختيار خبير أو أكثر أقرت المحكمة اتفاقهم.,يمكن طلب ندب خبير في أي وقت خلال سير الدعوى، سواء من المحكمة أو بناءً على طلب أحد الأطراف.,4,متى يمكن طلب ندب خبير؟,للمحكمة -من تلقاء نفسها أو بناءً على طلب أحد الخصوم- أن تقرر ندب خبير أو أكثر؛ لإبداء رأيه في المسائل الفنية التي يستلزمها الفصل في الدعوى، وفقًا للمادة (١١٠) من نظام الإثبات.,للمحكمة -من تلقاء نفسها أو بناء على طلب أحد الخصوم- أن تقرر ندب خبير أو أكثر؛ لإبداء رأيه في المسائل الفنية التي يستلزمها الفصل في الدعوى.  يراعى في اختيار الخبير تناسب معارفه الفنية وخبراته مع موضوع النزاع.  إذا اتفق الخصوم على اختيار خبير أو أكثر أقرت المحكمة اتفاقهم.,Cohere-command-r-kscml | with Context
متى يمكن للمحضون السفر؟,مع مراعاة ما تقضي به الأحكام النظامية ذات العلاقة، يخضع السفر بالمحضون إلى خارج المملكة للأحكام الآتية: 1. لا يجوز للحاضن إذا كان أحد الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (تسعين) يوماً في السنة إلا بموافقة الوالد الآخر، والولي على النفس في حال وفاة الوالد. 2. لا يجوز للحاضن من غير الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (ثلاثين) يوماً في السنة إلا بموافقة الوالدين أو أحدهما في حال وفاة الآخر، والولي على النفس في حال وفاتهما.,56,Cohere-command-r-kscml,مع مراعاة ما تقضي به الأحكام النظامية ذات العلاقة، يخضع السفر بالمحضون إلى خارج المملكة للأحكام الآتية:  1- لا يجوز للحاضن إذا كان أحد الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (تسعين) يوماً في السنة إلا بموافقة الوالد الآخر، والولي على النفس في حال وفاة الوالد.  2- لا يجوز للحاضن من غير الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (ثلاثين) يوماً في السنة إلا بموافقة الوالدين أو أحدهما في حال وفاة الآخر، والولي على النفس في حال وفاتهما.,يمكن للمحضون السفر وفقاً للقيود الزمنية المفروضة على الحاضن، سواء كان أحد الوالدين أو غيرهما. السفر مسموح به لمدة تصل إلى 90 يوماً في السنة بموافقة الوالد الآخر، أو لمدة تصل إلى 30 يوماً بموافقة الوالدين أو أحدهما.,5,متى يمكن للمحضون السفر؟,مع مراعاة ما تقضي به الأحكام النظامية ذات العلاقة، يخضع السفر بالمحضون إلى خارج المملكة للأحكام الآتية: 1. لا يجوز للحاضن إذا كان أحد الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (تسعين) يوماً في السنة إلا بموافقة الوالد الآخر، والولي على النفس في حال وفاة الوالد. 2. لا يجوز للحاضن من غير الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (ثلاثين) يوماً في السنة إلا بموافقة الوالدين أو أحدهما في حال وفاة الآخر، والولي على النفس في حال وفاتهما.,مع مراعاة ما تقضي به الأحكام النظامية ذات العلاقة، يخضع السفر بالمحضون إلى خارج المملكة للأحكام الآتية:  1- لا يجوز للحاضن إذا كان أحد الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (تسعين) يوماً في السنة إلا بموافقة الوالد الآخر، والولي على النفس في حال وفاة الوالد.  2- لا يجوز للحاضن من غير الوالدين السفر بالمحضون إلى خارج المملكة مدة تزيد على (ثلاثين) يوماً في السنة إلا بموافقة الوالدين أو أحدهما في حال وفاة الآخر، والولي على النفس في حال وفاتهما.,Cohere-command-r-kscml | with Context
من المختص في فصل المنازعات في محكمة التنفيذ؟,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار.,57,Cohere-command-r-kscml,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار .,قاضي التنفيذ هو من يفصل في منازعات التنفيذ وفقا لأحكام القضاء المستعجل.,5,من المختص في فصل المنازعات في محكمة التنفيذ؟,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار.,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار .,Cohere-command-r-kscml | with Context
من هم الأشخاص الذين توزع عليهم حصيلة التنفيذ؟,توزع حصيلة التنفيذ - بأمر من قاضي التنفيذ - على الدائنين الحاجزين، ومن يعد طرفًا في الإجراءات.,58,Cohere-command-r-kscml,توزع حصيلة التنفيذ - بأمر من قاضي التنفيذ - على الدائنين الحاجزين، ومن يعد طرفًا في الإجراءات.,الدائنون الحائزون ومن لهم صلة بإجراءات التنفيذ.,5,من هم الأشخاص الذين توزع عليهم حصيلة التنفيذ؟,توزع حصيلة التنفيذ - بأمر من قاضي التنفيذ - على الدائنين الحاجزين، ومن يعد طرفًا في الإجراءات.,توزع حصيلة التنفيذ - بأمر من قاضي التنفيذ - على الدائنين الحاجزين، ومن يعد طرفًا في الإجراءات.,Cohere-command-r-kscml | with Context
من هم الأشخاص الذين لا تفرض عليهم تكاليف قضائية؟,المسجونون والموقوفون وقت استحقاق التكاليف القضائية في قضايا مالية غير جنائية في الدعاوى التي تقام سواء كانت منهم أو عليهم. العمال المشمولون بنظام العمل والمستثنون منه والمستحقون عنهم للمطالبة بمستحقاتهم الناشئة عن عقود العمل. الوزارات والأجهزة الحكومية. تتحمل الدولة التكاليف القضائية المستحقة على مستفيدي الضمان الاجتماعي.,59,Cohere-command-r-kscml,مع مراعاة ما تقضي به الأنظمة والمعاهدات والاتفاقيات الدولية التي تكون المملكة طرفاً، لا تفرض التكاليف القضائية على الفئات الآتية:  1.المسجونون والموقوفون وقت استحقاق التكاليف القضائية في قضايا مالية غير جنائية، في الدعاوى التي تقام سواءً كانت منهم أو عليهم.  2.العمال المشمولون بنظام العمل والمستثنون منه والمستحقون عنهم؛ للمطالبة بمستحقاتهم الناشئة عن عقود عمل.  3.الوزارات والأجهزة الحكومية.  وتحدد اللائحة الإجراءات والقواعد الخاصة بذلك.,المسجونون والموقوفون في قضايا مالية غير جنائية، العمال المطالبون بمستحقات عقود العمل، والوزارات والأجهزة الحكومية.,4,من هم الأشخاص الذين لا تفرض عليهم تكاليف قضائية؟,المسجونون والموقوفون وقت استحقاق التكاليف القضائية في قضايا مالية غير جنائية في الدعاوى التي تقام سواء كانت منهم أو عليهم. العمال المشمولون بنظام العمل والمستثنون منه والمستحقون عنهم للمطالبة بمستحقاتهم الناشئة عن عقود العمل. الوزارات والأجهزة الحكومية. تتحمل الدولة التكاليف القضائية المستحقة على مستفيدي الضمان الاجتماعي.,مع مراعاة ما تقضي به الأنظمة والمعاهدات والاتفاقيات الدولية التي تكون المملكة طرفاً، لا تفرض التكاليف القضائية على الفئات الآتية:  1.المسجونون والموقوفون وقت استحقاق التكاليف القضائية في قضايا مالية غير جنائية، في الدعاوى التي تقام سواءً كانت منهم أو عليهم.  2.العمال المشمولون بنظام العمل والمستثنون منه والمستحقون عنهم؛ للمطالبة بمستحقاتهم الناشئة عن عقود عمل.  3.الوزارات والأجهزة الحكومية.  وتحدد اللائحة الإجراءات والقواعد الخاصة بذلك.,Cohere-command-r-kscml | with Context
من يتحمل التكاليف القضائية لطلب التنفيذ؟,يتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ، ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإن كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف بقدر هذا الجزء.,60,Cohere-command-r-kscml,تُقدّر التكاليف القضائية لطلب التنفيذ المباشر بمبلغ قدره خمسمائة ريال، وفيما يتعلق بباقي طلبات التنفيذ، فتقدر التكاليف القضائية بنسبة اثنين في المائة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.  ويتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإذا كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف القضائية بقدر هذا الجزء.,يتحمل المدعى عليه التكاليف القضائية لطلب التنفيذ ما لم يثبت أن المدعي غير مستحق لمطالبته. وفي هذه الحالة يتحمل المدعي التكاليف القضائية كاملة أو جزئياً وفقاً لحكم المحكمة.,5,من يتحمل التكاليف القضائية لطلب التنفيذ؟,يتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ، ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإن كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف بقدر هذا الجزء.,تُقدّر التكاليف القضائية لطلب التنفيذ المباشر بمبلغ قدره خمسمائة ريال، وفيما يتعلق بباقي طلبات التنفيذ، فتقدر التكاليف القضائية بنسبة اثنين في المائة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.  ويتحمل المنفذ ضده التكاليف القضائية لطلب التنفيذ ما لم يثبت أن طالب التنفيذ غير مستحق لمطالبته، فيتحمل طالب التنفيذ كامل التكاليف القضائية، وإذا كان طالب التنفيذ غير مستحق لجزء من مطالبته، فيتحمل من التكاليف القضائية بقدر هذا الجزء.,Cohere-command-r-kscml | with Context
من يتحمل سداد مبالغ التكاليف القضائية؟,يتحمل المحكوم عليه قيمة التكاليف القضائية المقررة للدعوى والطلبات المتصلة بها أو قسطًا منها، ما لم ينص النظام أو اللائحة على غير ذلك، وذلك دون إخلال بحق ذوي الشأن في المطالبة بالتعويض. وفي حال كان المدعي غير محق في جزء من طلباته، فيتحمل قسط ذلك الجزء.,61,Cohere-command-r-kscml,1.يتحمل المحكوم عليه قيمة التكاليف القضائية المقررة للدعوى والطلبات المتصلة بها أو قسطاً منها، ما لم ينص النظام أو اللائحة على غير ذلك، وذلك دون إخلال بحق ذوي الشأن في المطالبة بالتعويض. وفي حال كان المدعي غير محق في جزء من طلباته، فيتحمل قسط ذلك الجزء.  2.إذا انتهت الدعوى بالصلح فيتحمل أطراف الدعوى التكاليف القضائية بالتساوي، ما لم يتفقوا على غير ذلك.,يتحمل المدعي أو المحكوم عليه التكاليف القضائية للدعوى، أو جزء منها، إلا إذا نص النظام أو اللائحة على خلاف ذلك. وفي حالة الصلح، يتحمل أطراف الدعوى التكاليف بالتساوي، أو وفق اتفاقهم.,4,من يتحمل سداد مبالغ التكاليف القضائية؟,يتحمل المحكوم عليه قيمة التكاليف القضائية المقررة للدعوى والطلبات المتصلة بها أو قسطًا منها، ما لم ينص النظام أو اللائحة على غير ذلك، وذلك دون إخلال بحق ذوي الشأن في المطالبة بالتعويض. وفي حال كان المدعي غير محق في جزء من طلباته، فيتحمل قسط ذلك الجزء.,1.يتحمل المحكوم عليه قيمة التكاليف القضائية المقررة للدعوى والطلبات المتصلة بها أو قسطاً منها، ما لم ينص النظام أو اللائحة على غير ذلك، وذلك دون إخلال بحق ذوي الشأن في المطالبة بالتعويض. وفي حال كان المدعي غير محق في جزء من طلباته، فيتحمل قسط ذلك الجزء.  2.إذا انتهت الدعوى بالصلح فيتحمل أطراف الدعوى التكاليف القضائية بالتساوي، ما لم يتفقوا على غير ذلك.,Cohere-command-r-kscml | with Context
هل تنظر المحكمة في الدعاوى المستعجلة؟,تحكم المحكمة المختصة بنظر الموضوع بصفة مؤقتة في المسائل المستعجلة التي يخشى عليها فوات الوقت والمتعلقة بالمنازعة نفسها، ولا يؤثر هذا الحكم على موضوع الدعوى، سواء رفع طلب الحكم بالإجراء المؤقت مباشرة أو تبعًا للدعوى الأصلية، وفقًا للمادة (٢٠٥) من نظام المرافعات الشرعية.,62,Cohere-command-r-kscml,تحكم المحكمة المختصة بنظر الموضوع بصفة مؤقتة في المسائل المستعجلة التي يخشى عليها فوات الوقت والمتعلقة بالمنازعة نفسها، ولا يؤثر هذا الحكم على موضوع الدعوى، سواء رفع طلب الحكم بالإجراء المؤقت مباشرة أو تبعاً للدعوى الأصلية.,نعم، يمكن للمحكمة المختصة أن تنظر في الدعاوى المستعجلة وتتخذ قرارات مؤقتة بشأنها. ولا يؤثر هذا الحكم على الدعوى الأصلية.,4,هل تنظر المحكمة في الدعاوى المستعجلة؟,تحكم المحكمة المختصة بنظر الموضوع بصفة مؤقتة في المسائل المستعجلة التي يخشى عليها فوات الوقت والمتعلقة بالمنازعة نفسها، ولا يؤثر هذا الحكم على موضوع الدعوى، سواء رفع طلب الحكم بالإجراء المؤقت مباشرة أو تبعًا للدعوى الأصلية، وفقًا للمادة (٢٠٥) من نظام المرافعات الشرعية.,تحكم المحكمة المختصة بنظر الموضوع بصفة مؤقتة في المسائل المستعجلة التي يخشى عليها فوات الوقت والمتعلقة بالمنازعة نفسها، ولا يؤثر هذا الحكم على موضوع الدعوى، سواء رفع طلب الحكم بالإجراء المؤقت مباشرة أو تبعاً للدعوى الأصلية.,Cohere-command-r-kscml | with Context
هل توجد مدة محددة للمحامي الغير ممارس بعدها لا يسمح له بإعادة قيدهفي جدول المحامين الممارسين؟,نعم، توجد مدة محددة، وهي بحد اقصى عشر سنوات في حال تم نقل المحامي بناءً على طلبه، وخمس سنوات في حال أن تم نقل المحامي من قِبل اللجنة.,63,Cohere-command-r-kscml,للمحامي المنقول اسمه إلى جدول المحامين غير الممارسين في إحدى الحالات الواردة في البند (8/2) ان يتقدم للجنة القيد والقبول بطلب إعادة قيد اسمه في الجدول خلال مدة لا تزيد عن خمس سنوات من تاريخ قيده في جدول المحامين غير الممارسين، اما المحامي المذكور في الفقرة (هـ) فليس له طلب ذلك إلا بعد مضي ثلاث سنوات حسب الفقرة (ج) في البند (ثانياً) من المادة (29) من النظام.  ويعامل المحامي في جميع ما ذكر بقدر المدة المحددة في الترخيص حسب بقائها، أوانتهائها، بقرار من لجنة القيد والقبول.,نعم، خمس سنوات للمحامين المنقولين لجدول غير الممارسين في الحالات الواردة في البند 8/2، ولا يسمح للمحامي المذكور في الفقرة هـ بإعادة القيد إلا بعد ثلاث سنوات.,2,هل توجد مدة محددة للمحامي الغير ممارس بعدها لا يسمح له بإعادة قيدهفي جدول المحامين الممارسين؟,نعم، توجد مدة محددة، وهي بحد اقصى عشر سنوات في حال تم نقل المحامي بناءً على طلبه، وخمس سنوات في حال أن تم نقل المحامي من قِبل اللجنة.,للمحامي المنقول اسمه إلى جدول المحامين غير الممارسين في إحدى الحالات الواردة في البند (8/2) ان يتقدم للجنة القيد والقبول بطلب إعادة قيد اسمه في الجدول خلال مدة لا تزيد عن خمس سنوات من تاريخ قيده في جدول المحامين غير الممارسين، اما المحامي المذكور في الفقرة (هـ) فليس له طلب ذلك إلا بعد مضي ثلاث سنوات حسب الفقرة (ج) في البند (ثانياً) من المادة (29) من النظام.  ويعامل المحامي في جميع ما ذكر بقدر المدة المحددة في الترخيص حسب بقائها، أوانتهائها، بقرار من لجنة القيد والقبول.,Cohere-command-r-kscml | with Context
هل عدم دفع التكاليف القضائية يحول دون قيد الدعوى في المحكمة؟,لا يؤثر عدم دفع التكاليف على قيد الطلب والبت في الدعوى في كافة محاكم الدرجة الأولى، أما طلبات النقض والتماس إعادة النظر فيمهل مدة ثلاثون يومًا لسداد التكاليف وإلا سقط حقه في الطلب وعد الحكم نهائي.,64,Cohere-command-r-kscml,تُرد التكاليف القضائية المدفوعة متى تبين عدم وجوبها على دافعها أو استفادته من حالة من حالات الإعفاء ومن ذلك مايأتي:  1.إذا حكم لمصلحة دافع التكاليف القضائية.  2.طلب رد القاضي أو القضاة إذا قبل طلب الرد.  3.طلب تصحيح الحكم أو تفسيره إذا قضي بإجابة الطلب.  4.طلب الاستئناف إذا حكم بنقض الحكم المستأنف كلياً، وإذا نقض الحكم جزئياً فيعفى بقدر ذلك الجزء، وطلب النقض إذا قضي فيه بإعادة القضية إلى المحكمة مصدرة الحكم المعترض عليه.  5.إذا ترك المدعي عليه دعواه قبل عقد الجلسة الأولى؛ وفقاً للإجراءات النظامية.  6.الدعاوى التي تنتهي بالصلح قبل رفع الجلسة الأولى.  7.الدعاوى المتعلقة بالحقوق الخاصة التي ترفع بالتبعية للقضايا الجزائية إذا انتهت بالصلح على أي حال كانت فيها الدعوى.  وتحدد اللائحة الإجراءات والقواعد الخاصة بذلك.,لا يُمنع قيد الدعوى لعدم دفع التكاليف القضائية. يمكن رد التكاليف المدفوعة في حالات محددة، منها الحكم لمصلحة دافعها.,2,هل عدم دفع التكاليف القضائية يحول دون قيد الدعوى في المحكمة؟,لا يؤثر عدم دفع التكاليف على قيد الطلب والبت في الدعوى في كافة محاكم الدرجة الأولى، أما طلبات النقض والتماس إعادة النظر فيمهل مدة ثلاثون يومًا لسداد التكاليف وإلا سقط حقه في الطلب وعد الحكم نهائي.,تُرد التكاليف القضائية المدفوعة متى تبين عدم وجوبها على دافعها أو استفادته من حالة من حالات الإعفاء ومن ذلك مايأتي:  1.إذا حكم لمصلحة دافع التكاليف القضائية.  2.طلب رد القاضي أو القضاة إذا قبل طلب الرد.  3.طلب تصحيح الحكم أو تفسيره إذا قضي بإجابة الطلب.  4.طلب الاستئناف إذا حكم بنقض الحكم المستأنف كلياً، وإذا نقض الحكم جزئياً فيعفى بقدر ذلك الجزء، وطلب النقض إذا قضي فيه بإعادة القضية إلى المحكمة مصدرة الحكم المعترض عليه.  5.إذا ترك المدعي عليه دعواه قبل عقد الجلسة الأولى؛ وفقاً للإجراءات النظامية.  6.الدعاوى التي تنتهي بالصلح قبل رفع الجلسة الأولى.  7.الدعاوى المتعلقة بالحقوق الخاصة التي ترفع بالتبعية للقضايا الجزائية إذا انتهت بالصلح على أي حال كانت فيها الدعوى.  وتحدد اللائحة الإجراءات والقواعد الخاصة بذلك.,Cohere-command-r-kscml | with Context
هل لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة؟,لا يكون لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة.,65,Cohere-command-r-kscml,لا يكون لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة.,لا، لا يؤثر تنازل المدعي بالحق الخاص على الدعوى الجزائية العامة.,5,هل لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة؟,لا يكون لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة.,لا يكون لترك المدعي بالحق الخاص دعواه تأثير على الدعوى الجزائية العامة.,Cohere-command-r-kscml | with Context
هل لقاضي التنفيذ السلطة في الحبس الإجباري؟,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار.,66,Cohere-command-r-kscml,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار .,نعم، يمكن لقاضي التنفيذ إصدار أمر بالحبس.,5,هل لقاضي التنفيذ السلطة في الحبس الإجباري؟,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار.,يختص قاضي التنفيذ بالفصل في منازعات التنفيذ مهما كانت قيمتها، وفقًا لأحكام القضاء المستعجل، ويختص كذلك بإصدار القرارات والأوامر المتعلقة بالتنفيذ، وله الأمر بالاستعانة بالشرطة أو القوة المختصة، وكذلك الأمر بالمنع من السفر ورفعه، والأمر بالحبس والإفراج، والأمر بالإفصاح عن الأصول، والنظر في دعوى الإعسار .,Cohere-command-r-kscml | with Context
هل يجوز الحكم بالشبهة؟,لا يجوز توقيع عقوبة جزائية على أي شخص إلا بعد ثبوت إدانته بأمر محظور شرعًا أو نظامًا بعد محاكمة تجرى وفقًا للمقتضى الشرعي بناءً على المادة (٣) من نظام الإجراءات الجزائية.,67,Cohere-command-r-kscml,لا يجوز توقيع عقوبة جزائية على أي شخص، إلا بعد ثبوت إدانته بأمر محظور شرعًا أو نظامًا بعد محاكمة تُجْرى وفقًا للمقتضى الشرعي.,لا، لا يجوز الحكم بالشبهة. يجب إثبات الإدانة وفقًا للشرع أو النظام قبل فرض أي عقوبة جزائية.,5,هل يجوز الحكم بالشبهة؟,لا يجوز توقيع عقوبة جزائية على أي شخص إلا بعد ثبوت إدانته بأمر محظور شرعًا أو نظامًا بعد محاكمة تجرى وفقًا للمقتضى الشرعي بناءً على المادة (٣) من نظام الإجراءات الجزائية.,لا يجوز توقيع عقوبة جزائية على أي شخص، إلا بعد ثبوت إدانته بأمر محظور شرعًا أو نظامًا بعد محاكمة تُجْرى وفقًا للمقتضى الشرعي.,Cohere-command-r-kscml | with Context
هل يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا؟,لا يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا، مادام الاعتراض عليها جائزًا، إلا إذا كانت مشمولة بالنفاذ المعجل، أو كان النفاذ المعجل منصوصًا عليه في الأنظمة ذات العلاقة.,68,Cohere-command-r-kscml,لا يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا، مادام الاعتراض عليها جائزًا، إلا إذا كانت مشمولة بالنفاذ المعجل، أو كان النفاذ المعجل منصوصًا عليه في الأنظمة ذات العلاقة.,نعم، ولكن فقط إذا كانت مشمولة بالنفاذ المعجل أو ينص على النفاذ المعجل في الأنظمة ذات الصلة.,4,هل يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا؟,لا يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا، مادام الاعتراض عليها جائزًا، إلا إذا كانت مشمولة بالنفاذ المعجل، أو كان النفاذ المعجل منصوصًا عليه في الأنظمة ذات العلاقة.,لا يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا، مادام الاعتراض عليها جائزًا، إلا إذا كانت مشمولة بالنفاذ المعجل، أو كان النفاذ المعجل منصوصًا عليه في الأنظمة ذات العلاقة.,Cohere-command-r-kscml | with Context
هل يجوز فتح باب المرافعة بعد تقرير قفله؟,نعم، للدائرة فتح باب المرافعة بعد قفله وقبل النطق بالحكم للأسباب التي تقررها الدائرة.,69,Cohere-command-r-kscml,على الدائرة إذا فتحت باب المرافعة بعد قفلها بيان أسباب ذلك في الضبط.,نعم، يمكن فتح باب المرافعة بعد إغلاقه إذا قدم سبب مقنع في محضر الضبط.,5,هل يجوز فتح باب المرافعة بعد تقرير قفله؟,نعم، للدائرة فتح باب المرافعة بعد قفله وقبل النطق بالحكم للأسباب التي تقررها الدائرة.,على الدائرة إذا فتحت باب المرافعة بعد قفلها بيان أسباب ذلك في الضبط.,Cohere-command-r-kscml | with Context
